timestamp,src_ip,target_ip,attack_label,attack_type,packets_per_second,mqtt_publish_rate,broker_response_latency_ms,device_heap_free_bytes,auth_attempt_rate,auth_failure_rate,unique_passwords_tried,result_code,password_length,payload_entropy,auth_success_rate,credential_entropy,duplicate_payload_rate,msg_timestamp_delta_ms,motion,arm,inter_arrival_mean_ms,inter_arrival_std_ms,consecutive_failures,session_attempt_count,session_failure_rate,latency_zscore
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.1042,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,3.489850231
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0546,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,1.292625559
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.1459,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,5.337113715
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.036,231840,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.468666307
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0379,231844,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.552834188
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0257,231840,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.012387797
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.036,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.468666307
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0308,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.238312108
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0498,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,1.079990914
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0308,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.238312108
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0236,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,-0.080639861
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0389,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.597133072
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0298,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.194013223
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0358,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,0.45980653
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0229,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,-0.11164908
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0248,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,-0.027481199
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0165,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,-0.395161941
6/05/2026 22:15,192.168.4.29,192.168.4.22,0,Normal,0,5,0.0138,233480,0,0,0,0,0,0,0,0,0,2000,0,1,2000,100,0,1,0,-0.514768929
