timestamp,src_ip,target_ip,attack_label,attack_type,packets_per_second,mqtt_publish_rate,broker_response_latency_ms,device_heap_free_bytes,auth_attempt_rate,auth_failure_rate,unique_passwords_tried,result_code,password_length,payload_entropy,auth_success_rate,credential_entropy,duplicate_payload_rate,msg_timestamp_delta_ms,motion,arm,inter_arrival_mean_ms,inter_arrival_std_ms,consecutive_failures,session_attempt_count,session_failure_rate,latency_zscore
2026-05-20T12:03:43.139132,172.28.233.179,192.168.21.165,0,normal_pre_attack,0,0,4.9975,235000,0,0.0,1,0,12,3.2516,0,3.2516,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0
2026-05-20T12:03:52.673035,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1018,0.1018,3.1567,235000,0.1018,0.0,1,0,12,3.2516,0.1018,3.2516,0.0,9822.7446,0,0,9822.7446,0.0,0,2,0.0,-1.0
2026-05-20T12:04:01.269705,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1069,0.1069,2.207,235000,0.1069,0.0,1,0,12,3.2516,0.1069,3.2516,0.0,9355.6304,0,0,9355.6304,467.1142,0,3,0.0,-1.0762
2026-05-20T12:04:07.823201,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1205,0.1205,2.9538,235000,0.1205,0.0,1,0,12,3.2516,0.1205,3.2516,0.0,8301.1674,0,0,8301.1674,1539.2362,0,4,0.0,-0.3654
2026-05-20T12:04:21.492824,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1027,0.1027,2.0692,235000,0.1027,0.0,1,0,12,3.2516,0.1027,3.2516,0.0,9733.6206,0,0,9733.6206,2816.5054,0,5,0.0,-0.9623
2026-05-20T12:04:31.868122,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1021,0.1021,3.0956,235000,0.1021,0.0,1,0,12,3.2516,0.1021,3.2516,0.0,9796.5452,0,0,9796.5452,2522.3006,0,6,0.0,0.0164
2026-05-20T12:04:46.056521,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.095,0.095,2.6717,235000,0.095,0.0,1,0,12,3.2516,0.095,3.2516,0.0,10524.7702,0,0,10524.7702,2820.1464,0,7,0.0,-0.3903
2026-05-20T12:04:53.783636,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.0983,0.0983,2.023,235000,0.0983,0.0,1,0,12,3.2516,0.0983,3.2516,0.0,10175.0494,0,0,10175.0494,2747.8862,0,8,0.0,-0.9696
2026-05-20T12:05:01.771934,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1011,0.1011,2.4016,235000,0.1011,0.0,1,0,12,3.2516,0.1011,3.2516,0.0,9887.2887,0,0,9887.2887,2680.795,0,9,0.0,-0.5096
2026-05-20T12:05:10.120511,172.28.233.179,192.168.21.165,0,normal_pre_attack,0.1028,0.1028,2.4076,235000,0.1028,0.0,1,0,12,3.2516,0.1028,3.2516,0.0,9729.0898,0,0,9729.0898,2566.7799,0,10,0.0,-0.471
