timestamp,src_ip,target_ip,attack_label,attack_type,broker_response_latency_ms,result_code,password_length,payload_entropy,auth_attempt_rate,auth_failure_rate,auth_success_rate,unique_passwords_tried,credential_entropy,inter_arrival_mean_ms,inter_arrival_std_ms,consecutive_failures,session_attempt_count,session_failure_rate,latency_zscore
2026-05-05T17:15:44.344494,172.28.233.179,192.168.21.239,0,normal_pre_attack,5.6844,0,12,3.2516,0,0.0,0,1,3.2516,0.0,0.0,0,1,0.0,0.0
2026-05-05T17:15:45.059282,172.28.233.179,192.168.21.239,0,normal_pre_attack,3.3011,0,12,3.2516,0.1145,0.0,0.1145,1,3.2516,8735.3415,0.0,0,2,0.0,-1.0
2026-05-05T17:15:52.774266,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.3696,0,12,3.2516,0.083,0.0,0.083,1,3.2516,12053.9827,3318.6412,0,3,0.0,-1.014
2026-05-05T17:16:05.850506,172.28.233.179,192.168.21.239,0,normal_pre_attack,4.1046,0,12,3.2516,0.1016,0.0,0.1016,1,3.2516,9842.076,4138.5161,0,4,0.0,0.197
2026-05-05T17:16:13.398345,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.6824,0,12,3.2516,0.1079,0.0,0.1079,1,3.2516,9268.7103,3719.1036,0,5,0.0,-0.7972
2026-05-05T17:16:21.710580,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.3329,0,12,3.2516,0.1089,0.0,0.1089,1,3.2516,9179.418,3331.2577,0,6,0.0,-0.9103
2026-05-05T17:16:31.985502,172.28.233.179,192.168.21.239,0,normal_pre_attack,3.9968,0,12,3.2516,0.1078,0.0,0.1078,1,3.2516,9277.7163,3048.9415,0,7,0.0,0.4484
2026-05-05T17:16:41.676424,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.7292,0,12,3.2516,0.1069,0.0,0.1069,1,3.2516,9356.9903,2829.4423,0,8,0.0,-0.6241
2026-05-05T17:16:59.447193,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.281,0,12,3.2516,0.1065,0.0,0.1065,1,3.2516,9387.9932,2647.9717,0,9,0.0,-0.9273
2026-05-05T17:17:05.273744,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.1253,0,12,3.2516,0.1012,0.0,0.1012,1,3.2516,9876.9706,2854.0254,0,10,0.0,-0.9635
2026-05-05T17:17:15.404401,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.6982,0,12,3.2516,0.1014,0.0,0.1014,1,3.2516,9861.8861,2707.9444,0,11,0.0,-0.4069
2026-05-05T17:17:23.295795,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.5148,0,12,3.2516,0.1028,0.0,0.1028,1,3.2516,9724.811,2618.0576,0,12,0.0,-0.5517
2026-05-05T17:17:39.554213,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.5234,0,12,3.2516,0.1037,0.0,0.1037,1,3.2516,9640.0855,2522.3011,0,13,0.0,-0.516
2026-05-05T17:17:38.459918,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.2993,0,12,3.2516,0.1068,0.0,0.1068,1,3.2516,9367.5583,2600.7443,0,14,0.0,-0.7049
2026-05-05T17:17:51.956938,172.28.233.179,192.168.21.239,0,normal_pre_attack,2.8496,0,12,3.2516,0.1032,0.0,0.1032,1,3.2516,9690.7004,2763.7309,0,15,0.0,-0.1259
