timestamp,src_ip,target_ip,attack_label,attack_type,broker_response_latency_ms,packets_per_second,mqtt_publish_rate,device_heap_free_bytes,result_code,password_length,payload_entropy,auth_attempt_rate,auth_failure_rate,auth_success_rate,unique_passwords_tried,credential_entropy,inter_arrival_mean_ms,inter_arrival_std_ms,consecutive_failures,session_attempt_count,session_failure_rate,latency_zscore,duplicate_payload_rate,msg_timestamp_delta_ms
2026-05-12 19:20:46,192.168.1.100,172.20.10.5,0,replay,0.12,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0,0,50
2026-05-12 19:22:43,192.168.1.100,172.20.10.5,0,replay,0.048,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-1.0,0,50
2026-05-12 19:22:44,192.168.1.100,172.20.10.5,0,replay,0.029,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.9355,0,50
2026-05-12 19:22:45,192.168.1.100,172.20.10.5,0,replay,0.039,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.5578,0,50
2026-05-12 19:22:46,192.168.1.100,172.20.10.5,0,replay,0.032,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.6383,0,50
2026-05-12 19:22:46,192.168.1.100,172.20.10.5,0,replay,0.047,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.1775,0,50
2026-05-12 19:22:47,192.168.1.100,172.20.10.5,0,replay,0.06,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.2231,0,50
2026-05-12 19:22:47,192.168.1.100,172.20.10.5,0,replay,0.028,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.7922,0,50
2026-05-12 19:22:47,192.168.1.100,172.20.10.5,0,replay,0.031,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.6305,0,50
2026-05-12 19:22:48,192.168.1.100,172.20.10.5,0,replay,0.027,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.7158,0,50
2026-05-12 19:22:48,192.168.1.100,172.20.10.5,0,replay,0.026,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.7003,0,50
2026-05-12 19:22:48,192.168.1.100,172.20.10.5,0,replay,0.031,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.4819,0,50
2026-05-12 19:22:50,192.168.1.100,172.20.10.5,0,replay,0.029,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.5327,0,50
2026-05-12 19:22:51,192.168.1.100,172.20.10.5,0,replay,0.027,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.584,0,50
2026-05-12 19:23:02,192.168.1.100,172.20.10.5,0,replay,0.024,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.6739,0,50
2026-05-12 19:23:03,192.168.1.100,172.20.10.5,0,replay,0.224,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,3.4481,0,50
2026-05-12 19:23:04,192.168.1.100,172.20.10.5,0,replay,0.037,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.2779,0,50
2026-05-12 19:23:05,192.168.1.100,172.20.10.5,0,replay,0.029,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.4274,0,50
2026-05-12 19:23:05,192.168.1.100,172.20.10.5,0,replay,0.032,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.3534,0,50
2026-05-12 19:23:06,192.168.1.100,172.20.10.5,0,replay,0.079,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.6346,0,50
2026-05-12 19:23:06,192.168.1.100,172.20.10.5,0,replay,0.033,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.3602,0,50
2026-05-12 19:23:06,192.168.1.100,172.20.10.5,0,replay,0.039,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.2209,0,50
2026-05-12 19:23:07,192.168.1.100,172.20.10.5,0,replay,0.061,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.2743,0,50
2026-05-12 19:23:07,192.168.1.100,172.20.10.5,0,replay,0.094,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.9984,0,50
2026-05-12 19:23:07,192.168.1.100,172.20.10.5,0,replay,0.033,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.4107,0,50
2026-05-12 19:23:08,192.168.1.100,172.20.10.5,0,replay,0.07,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.4538,0,50
2026-05-12 19:23:08,192.168.1.100,172.20.10.5,0,replay,0.057,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.1387,0,50
2026-05-12 19:23:08,192.168.1.100,172.20.10.5,0,replay,0.036,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.3676,0,50
2026-05-12 19:23:08,192.168.1.100,172.20.10.5,0,replay,0.036,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.3604,0,50
2026-05-12 19:23:08,192.168.1.100,172.20.10.5,0,replay,0.02,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,-0.7443,0,50
2026-05-12 19:23:09,192.168.1.100,172.20.10.5,0,replay,0.094,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,1.0964,0,50
2026-05-12 19:23:09,192.168.1.100,172.20.10.5,0,replay,0.081,2,2,235000,0,0,0,0,0,0,0,0,50,2,0,0,0,0.7483,0,50
